country_of_bean_origin,cocoa_percent,rating_category,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
Venezuela,70.0,0,3.0,4,1,1,0,0,1,vanilla,nuts,roasty,no taste,3
Venezuela,70.0,0,3.0,4,1,1,0,0,1,nutty,mild roasty,vanilla,no taste,3
Blend,70.0,0,2.75,3,1,0,0,0,1,nut,fatty,rubbery,rich,4
Brazil,75.0,1,3.75,4,1,0,1,0,1,roasty,fatty,nutty,coffee,4
Brazil,75.0,1,3.25,4,1,0,1,0,1,grainy,sweet,poor aftertaste,no taste,3
Dominican republic,75.0,0,3.0,2,0,0,0,0,1,chalky,mild fruit,burnt,no taste,3
Bolivia,75.0,1,3.5,2,0,0,0,0,1,light roast,caramel,cocoa,no taste,3
Madagascar,75.0,0,3.0,3,1,0,0,0,1,sandy,fruity,short,no taste,3
Venezuela,75.0,0,3.0,3,1,0,0,0,1,nutty,mild spice,mild earthy,no taste,3
Ecuador,75.0,0,2.75,3,1,0,0,0,1,bitter,floral,leather,no taste,3
Mexico,72.0,0,2.5,3,1,0,0,0,1,earthy,sour milk,leather,no taste,3
Nicaragua,70.0,1,4.0,2,0,0,0,0,1,creamy,sticky,peanut butter,no taste,3
Ecuador,70.0,1,3.75,2,0,0,0,0,1,spicy,cocoa,no taste,no taste,2
Belize,70.0,1,3.75,2,0,0,0,0,1,floral,strawberry,metallic,no taste,3
Brazil,70.0,1,3.5,2,0,0,0,0,1,creamy,rich,rum,roasty,4
Peru,68.0,1,3.5,2,0,0,0,0,1,floral,nutty,rich cocoa,no taste,3
Dominican republic,70.0,1,3.5,2,0,0,0,0,1,spicy,brownie,nutty,no taste,3
Ecuador,75.0,1,3.5,3,1,0,0,0,1,intense,floral,bourbon,no taste,3
Guatemala,70.0,1,3.25,2,0,0,0,0,1,strawberry,butterscotch,off,no taste,3
Brazil,75.0,0,2.75,2,0,0,0,0,1,floral,chemical off,no taste,no taste,2
Costa rica,70.0,1,4.0,2,0,0,0,0,1,balanced,cherry,choco,no taste,3
Peru,70.0,1,4.0,2,0,0,0,0,1,creamy,complex,balanced,no taste,3
Tanzania,70.0,1,3.75,2,0,0,0,0,1,appealing smoke,woody,no taste,no taste,2
Nicaragua,70.0,1,3.75,3,1,0,0,0,1,muddy,rich cocoa,raspberry,no taste,3
Dominican republic,70.0,1,3.75,2,0,0,0,0,1,dark berry,chocolatey,no taste,no taste,2
Trinidad,70.0,1,3.5,2,0,0,0,0,1,delicate,simple,no taste,no taste,2
Vietnam,73.0,1,3.5,3,1,0,0,0,1,cashew,roasty,chunky melt,no taste,3
Guatemala,70.0,1,3.5,2,0,0,0,0,1,subtle,mysterious,no taste,no taste,2
Honduras,70.0,1,3.5,2,0,0,0,0,1,nutty,green,no taste,no taste,2
Ecuador,70.0,1,3.25,3,1,0,0,0,1,sticky,floral,roasty,no taste,3
Ecuador,70.0,1,3.25,3,1,0,0,0,1,chewy,mild floral,no taste,no taste,2
Fiji,70.0,1,3.25,2,0,0,0,0,1,smoke,hammy,cocoa base,no taste,3
Vietnam,73.0,1,3.25,2,0,0,0,0,1,earthy,nutty,cardboard,no taste,3
Bolivia,70.0,1,4.0,2,0,0,0,0,1,creamy,bright fruit,no taste,no taste,2
Haiti,70.0,1,4.0,2,0,0,0,0,1,long lasting,cocoa,no taste,no taste,2
India,70.0,1,3.5,2,0,0,0,0,1,slight roasty,basic cocoa,no taste,no taste,2
Madagascar,70.0,1,3.5,3,1,0,0,0,1,sour fruit,no taste,no taste,no taste,1
Vietnam,73.0,1,3.5,3,1,0,0,0,1,rich cocoa,mild roasty,no taste,no taste,2
Peru,70.0,1,3.5,3,1,0,0,0,1,dried fruit,fig,anise,no taste,3
Colombia,70.0,1,4.0,2,0,0,0,0,1,smooth,nutty,cocoa,no taste,3
Trinidad,70.0,0,3.0,2,0,0,0,0,1,nuts,dried fruit,short,no taste,3
India,70.0,1,3.25,3,1,0,0,0,1,herbs,mushroom,acidic,no taste,3
India,70.0,0,3.0,3,1,0,0,0,1,burn butterscotch,rubbery,no taste,no taste,2
Nicaragua,70.0,1,3.5,2,0,0,0,0,1,smooth,vegetal,no taste,no taste,2
Nicaragua,70.0,1,3.5,2,0,0,0,0,1,roasty,rich cocoa,no taste,no taste,2
Nicaragua,70.0,1,3.25,2,0,0,0,0,1,melon,late hammy,no taste,no taste,2
Nicaragua,70.0,0,3.0,2,0,0,0,0,1,cocoa,earthy,hammy,no taste,3
Congo,72.0,1,3.75,3,1,0,0,0,1,spicy,minty,vegetal,no taste,3
Dominican republic,72.0,1,3.25,3,1,0,0,0,1,spice,cocoa,short,no taste,3
Madagascar,80.0,0,3.0,3,1,0,0,0,1,sl. bitter,cherry,rich,no taste,3
Peru,75.0,0,3.0,3,1,0,0,0,1,spicey,mild metallic,no taste,no taste,2
Indonesia,72.0,0,2.75,3,1,0,0,0,1,gritty,very smokey,sour,no taste,3
Venezuela,75.0,0,2.5,3,1,0,0,0,1,oily,nutty,burnt,sour,4
Brazil,72.0,0,1.75,3,1,0,0,0,1,cocoa,dominate off note,no taste,no taste,2
Jamaica,72.0,1,3.75,3,1,0,0,0,1,grassy,black licorice,mint,no taste,3
Indonesia,72.0,1,3.5,3,1,0,0,0,1,black pepper and banana,no taste,no taste,no taste,1
Costa rica,72.0,1,3.25,3,1,0,0,0,1,chewy,grassy,nutty,no taste,3
Vietnam,72.0,1,3.25,3,1,0,0,0,1,unrefined,distinct spicey,no taste,no taste,2
Haiti,72.0,1,4.0,3,1,0,0,0,1,nuts,butterscotch,brownie,no taste,3
Panama,72.0,0,2.75,3,1,0,0,0,1,blackpepper,chemical,rubber,no taste,3
Colombia,72.0,1,3.75,3,1,0,0,0,1,marshmallow,roasty,nutty,no taste,3
Trinidad,72.0,1,3.25,3,1,0,0,0,1,gritty,nutty,no taste,no taste,2
Colombia,72.0,0,2.75,4,1,0,1,0,1,creamy,marshmallow,off,no taste,3
Ecuador,70.0,0,3.0,2,0,0,0,0,1,smooth,astringent,cocoa,no taste,3
Mexico,75.0,0,2.5,2,0,0,0,0,1,leather,black licorice,off,no taste,3
Philippines,77.0,1,3.75,2,0,0,0,0,1,strawberries,mild tart,roasty,no taste,3
Tanzania,72.0,1,3.75,2,0,0,0,0,1,creamy,woody,cocoa,no taste,3
Honduras,70.0,1,3.75,2,0,0,0,0,1,grapes,woody,roasty,no taste,3
Tanzania,68.0,1,3.75,3,1,0,0,0,1,creamy,rich,blueberry,no taste,3
Solomon islands,70.0,0,3.0,4,1,0,1,0,1,off aroma,vegetal,honey,sandy,4
Philippines,70.0,1,3.5,3,1,0,0,0,1,long,bright fruit,sweet,sour,4
Philippines,70.0,0,3.0,3,1,0,0,0,1,waxy,dried fruit,no taste,no taste,2
Philippines,70.0,0,3.0,3,1,0,0,0,1,sandy,roasty,nutty,no taste,3
Philippines,77.0,0,2.75,4,0,1,1,0,1,sandy,vanilla,no taste,no taste,2
Madagascar,70.0,0,3.0,2,0,0,0,0,1,unrefined,flat,grassy,no taste,3
Brazil,70.0,0,2.5,2,0,0,0,0,1,chalky,intense,chemical,no taste,3
Blend,70.0,0,2.5,2,0,0,0,0,1,chalky,fragrant,then off,no taste,3
Papua new guinea,70.0,1,3.5,2,0,0,0,0,1,smoke,ham,papaya,no taste,3
Blend,80.0,1,3.25,2,0,0,0,0,1,coarse,smokey,metallic,no taste,3
Brazil,70.0,0,3.0,2,0,0,0,0,1,bland,sugary,large grits,no taste,3
Peru,70.0,1,3.5,3,1,0,0,0,1,black pepper,cardamom,no taste,no taste,2
Peru,70.0,0,2.75,3,1,0,0,0,1,molasses,caramel,pungent,no taste,3
Tanzania,72.0,1,3.25,3,1,0,0,0,1,base cocoa,mild fruit,roasty,no taste,3
Belize,72.0,0,2.5,3,1,0,0,0,1,gritty,fatty,sour,off,4
Madagascar,70.0,1,3.75,2,0,0,0,0,1,raspberry,mild sour,no taste,no taste,2
Mexico,70.0,1,3.5,2,0,0,0,0,1,molasses,toffee,coffee grounds,no taste,3
Dominican republic,70.0,1,3.25,2,0,0,0,0,1,complex,black pepper,coffee,no taste,3
Peru,70.0,1,4.0,2,0,0,0,0,1,creamy,rounded,orange,no taste,3
Brazil,70.0,1,3.5,2,0,0,0,0,1,intense,smokey,dried fruit,no taste,3
Costa rica,72.0,1,3.5,2,0,0,0,0,1,slightly dry,cocoa,berry,no taste,3
Trinidad,80.0,1,3.5,2,0,0,0,0,1,intense,tangy,alcohol,no taste,3
Costa rica,80.0,0,2.75,4,1,1,0,0,1,gritty,floral,vanilla,no taste,3
Brazil,70.0,1,3.75,3,1,0,0,0,1,strawberry,candy flavor,no taste,no taste,2
Dominican republic,65.0,1,3.5,3,1,0,0,0,1,creamy,sweet,fudgey,no taste,3
Ecuador,65.0,1,3.25,3,1,0,0,0,1,sandy,floral,sweet,no taste,3
Peru,70.0,0,2.25,4,1,1,0,0,1,strong vanilla,off notes,no taste,no taste,2
Malaysia,72.0,1,3.25,3,1,0,0,0,1,smokey,woody,tobacco,no taste,3
Malaysia,73.0,0,3.0,3,1,0,0,0,1,caramel,spice,earthy,no taste,3
Brazil,80.0,0,2.75,3,1,0,0,0,1,intense,bitter,dry,no taste,3
Dominican republic,70.0,0,2.75,3,1,0,0,0,1,sandy,sweet,molasses,no taste,3
Ecuador,70.0,0,2.75,3,1,0,0,0,1,intense,floral,black pepper,no taste,3
Ecuador,71.0,1,3.5,4,1,0,1,0,1,dry,cinamon,nutmeg,no taste,3
Costa rica,64.0,0,2.75,4,1,0,1,0,1,pastey,nutty,no taste,no taste,2
Papua new guinea,64.0,0,2.75,4,1,0,1,0,1,intense,smokey,no taste,no taste,2
Peru,64.0,0,2.75,4,1,0,1,0,1,sticky,moss,nuts,no taste,3
Tanzania,70.0,1,3.5,3,1,0,0,0,1,sticky,delicate,melon,no taste,3
Dominican republic,70.0,1,3.5,2,0,0,0,0,1,caramel,mild dried fruit,no taste,no taste,2
Bolivia,70.0,1,3.25,3,1,0,0,0,1,oily,complex,pungent,no taste,3
Vietnam,75.0,1,3.25,3,1,0,0,0,1,high acidity,nutty,roasty,no taste,3
Belize,78.0,0,3.0,3,1,0,0,0,1,sweet,nibby,green,no taste,3
Vietnam,72.0,0,3.0,4,1,0,1,0,1,gummy,roasty,fatty,no taste,3
India,72.0,0,3.0,4,1,0,1,0,1,gummy,fatty,sour,no taste,3
Malaysia,72.0,0,3.0,4,1,0,1,0,1,off aroma,smokey,off note,no taste,3
Indonesia,72.0,1,4.0,3,1,0,0,0,1,smokey,raspberries,cocoa,no taste,3
Madagascar,72.0,1,3.75,3,1,0,0,0,1,intense,red berry,strawberry,no taste,3
Ecuador,73.0,1,4.0,3,1,0,0,0,1,cinamon and nutmeg,no taste,no taste,no taste,1
Cuba,74.0,1,3.5,3,1,0,0,0,1,tobacco,dairy,sour,no taste,3
Venezuela,74.0,1,3.5,3,1,0,0,0,1,mocha,intense,sweet,no taste,3
Venezuela,74.0,1,3.5,3,1,0,0,0,1,nutty,roasty,dairy,no taste,3
Indonesia,64.0,1,3.5,3,1,0,0,0,1,ham-like,smokey,banana,no taste,3
Venezuela,72.0,1,3.5,3,1,0,0,0,1,dark cocoa,spicy pepper,no taste,no taste,2
Venezuela,70.0,1,3.25,3,1,0,0,0,1,creamy,macadamia,pepper,no taste,3
Venezuela,74.0,1,3.25,3,1,0,0,0,1,nutty,light toffee,mild musty,no taste,3
Ecuador,72.0,1,4.0,3,1,0,0,0,1,creamy,nutty,cocoa,no taste,3
Venezuela,72.0,1,3.5,3,1,0,0,0,1,creamy,banana,rich,no taste,3
Madagascar,64.0,0,3.0,3,1,0,0,0,1,chunky,nutty,banana,no taste,3
Nicaragua,76.0,0,2.5,2,0,0,0,0,1,bitter,molasses,flour,no taste,3
Costa rica,76.0,0,2.5,2,0,0,0,0,1,molasses,metallic,earthy,no taste,3
Costa rica,78.0,0,2.5,4,1,1,0,0,1,sour,tart,molasses,no taste,3
Venezuela,70.0,1,3.5,4,1,0,1,0,1,smooth texture,earthy,nutty,no taste,3
Venezuela,70.0,0,3.0,4,1,0,1,0,1,gritty,spicy,earthy,no taste,3
Venezuela,70.0,0,3.0,4,1,0,1,0,1,fatty,bland,nutty,no taste,3
Dominican republic,68.0,1,3.75,2,0,0,0,0,1,nutty,astringent,no taste,no taste,2
Panama,75.0,1,3.5,2,0,0,0,0,1,intense,rum,tea,no taste,3
Madagascar,71.0,0,3.0,2,0,0,0,0,1,rich cocoa,red berry,sour,no taste,3
Ghana,70.0,0,3.0,2,0,0,0,0,1,nutmeg,sour,no taste,no taste,2
Dominican republic,65.0,1,3.5,2,0,0,0,0,1,intense marshmallow,cocoa,no taste,no taste,2
Madagascar,65.0,1,3.5,2,0,0,0,0,1,chocolate covered cherries,no taste,no taste,no taste,1
Madagascar,75.0,1,3.25,2,0,0,0,0,1,rustic,red berry,woody,no taste,3
Dominican republic,75.0,0,3.0,2,0,0,0,0,1,chalky,strong,harsh smoke,no taste,3
Blend,70.0,1,3.75,2,0,0,0,0,1,robust,cocoa,fruity,no taste,3
Indonesia,75.0,1,3.25,2,0,0,0,0,1,dry,cardamom,medicinal,no taste,3
Madagascar,70.0,0,3.0,2,0,0,0,0,1,red berry,strong wine,sour,no taste,3
Venezuela,78.0,0,3.0,2,0,0,0,0,1,nutty,mild bitter,no taste,no taste,2
Indonesia,65.0,0,2.75,2,0,0,0,0,1,pastey,off spicey,nutty,no taste,3
Ghana,72.0,1,3.5,3,1,0,0,0,1,roasted nuts,rich,roasty,no taste,3
Dominican republic,70.0,1,3.25,2,0,0,0,0,1,sweet,sour milk,no taste,no taste,2
Haiti,70.0,0,3.0,2,0,0,0,0,1,floral,molasses,chemical,no taste,3
Guatemala,70.0,0,3.0,2,0,0,0,0,1,molasses,earthy,spicy,no taste,3
Belize,70.0,0,2.75,2,0,0,0,0,1,off,rubbery,burnt molasses,no taste,3
Nicaragua,70.0,0,3.0,3,1,0,0,0,1,rich,leather,woodsy,no taste,3
Dominican republic,70.0,0,2.75,3,1,0,0,0,1,unrefined,fruity,no taste,no taste,2
Venezuela,70.0,0,2.75,3,1,0,0,0,1,sweet grass,muted spice,no taste,no taste,2
Jamaica,70.0,0,2.75,4,1,0,1,0,1,fatty,nutty,no taste,no taste,2
Blend,72.0,0,2.75,4,1,1,0,0,1,oily,flat,woody,sour,4
Madagascar,70.0,1,3.75,3,1,0,0,0,1,gritty,tart red berry,powerful,no taste,3
Guatemala,70.0,1,3.5,3,1,0,0,0,1,chewy,complex,black pepper,no taste,3
Tanzania,75.0,1,3.5,2,0,0,0,0,1,bready,melon,no taste,no taste,2
Dominican republic,75.0,0,3.0,2,0,0,0,0,1,astringent,sour,coffee,no taste,3
Guatemala,75.0,0,2.75,2,0,0,0,0,1,roasty,coffee,earthy,no taste,3
Belize,70.0,0,2.75,3,1,0,0,0,1,pungent off flavor,no taste,no taste,no taste,1
Malaysia,74.0,1,3.25,2,0,0,0,0,1,grassy,savory,sour,no taste,3
Malaysia,72.0,0,2.75,2,0,0,0,0,1,sweet,fruit,chemical off note,no taste,3
Malaysia,68.0,0,2.5,2,0,0,0,0,1,sweet,dirty,off notes,no taste,3
Venezuela,75.0,1,4.0,3,1,0,0,0,1,creamy,fatty,floral,no taste,3
Venezuela,75.0,1,4.0,3,1,0,0,0,1,creamy,coconut,tang,no taste,3
Blend,75.0,1,3.75,3,1,0,0,0,1,spice,woodsy,long lasting,no taste,3
Venezuela,75.0,1,3.75,3,1,0,0,0,1,sandy,creamy,berry,no taste,3
Madagascar,75.0,1,3.75,3,1,0,0,0,1,mellow,tart,coffee,no taste,3
Sri lanka,75.0,0,3.0,3,1,0,0,0,1,vegetal,dominant tobacco,no taste,no taste,2
Ecuador,75.0,0,2.5,3,1,0,0,0,1,dry,floral,bitter,no taste,3
Venezuela,75.0,1,4.0,3,1,0,0,0,1,creamy,strawberry,nutty,no taste,3
Ivory coast,75.0,0,3.0,3,1,0,0,0,1,oily,intense cocoa,sl. Burnt,no taste,3
Mexico,75.0,0,3.0,3,1,0,0,0,1,mild bitter,nut,possible mold,no taste,3
Mexico,75.0,0,3.0,3,1,0,0,0,1,fatty,roasty,earthy,no taste,3
Peru,75.0,0,2.75,3,1,0,0,0,1,flat,bread,earthy,no taste,3
Haiti,75.0,1,4.0,3,1,0,0,0,1,grassy,black pepper,no taste,no taste,2
Madagascar,75.0,1,4.0,3,1,0,0,0,1,fatty,spicy,gentle roast,no taste,3
Brazil,75.0,1,3.75,3,1,0,0,0,1,chunky,very grassy,mild mint,no taste,3
Cuba,75.0,1,3.5,3,1,0,0,0,1,fatty,raisin,grape,no taste,3
Peru,75.0,1,3.5,3,1,0,0,0,1,roasty,woody,mint,no taste,3
Peru,75.0,1,3.5,3,1,0,0,0,1,creamy,cocoa,smokey,no taste,3
Brazil,75.0,1,3.5,3,1,0,0,0,1,oily,fatty,rich,nutty,4
Jamaica,75.0,1,3.25,3,1,0,0,0,1,oily,creamy,woody,no taste,3
Brazil,75.0,1,3.5,3,1,0,0,0,1,oily,roasted nuts,rich cocoa,no taste,3
Gabon,75.0,1,3.25,3,1,0,0,0,1,fatty,roasty,black pepper,no taste,3
Brazil,75.0,1,4.0,3,1,0,0,0,1,creamy,homey,nutty,no taste,3
Blend,65.0,1,3.75,3,1,0,0,0,1,complex,brownie,mint,spice,4
Dominican republic,75.0,1,3.25,3,1,0,0,0,1,roasty,tobacco,earthy,no taste,3
Mexico,75.0,1,3.5,3,1,0,0,0,1,heavy roast,fatty,gateway,no taste,3
Peru,75.0,1,4.0,3,1,0,0,0,1,oily,subtle,mild coffee,no taste,3
Blend,75.0,1,4.0,3,1,0,0,0,1,creamy,rich,complex,no taste,3
Ecuador,77.0,1,3.25,2,0,0,0,0,1,sticky,lavendar,molasses,no taste,3
Dominican republic,72.0,1,3.25,3,1,0,0,0,1,spicy,banana,no taste,no taste,2
Peru,70.0,1,3.75,3,1,0,0,0,1,sweet,rich mocha,acidic,no taste,3
Ecuador,75.0,1,3.5,3,1,0,0,0,1,balanced,floral,honey,no taste,3
Ghana,75.0,1,3.5,5,1,1,1,0,1,fatty,brownie,nutty,no taste,3
Ecuador,70.0,1,3.25,5,1,1,1,0,1,intense,alocohol,floral,no taste,3
Dominican republic,72.0,0,3.0,5,1,1,1,0,1,oily,vanilla,caramel,dairy,4
Venezuela,70.0,1,4.0,3,1,0,0,0,1,intense,raisins,roasty,no taste,3
Belize,70.0,1,3.75,3,1,0,0,0,1,intense,cocoa,complex,no taste,3
Dominican republic,68.0,1,3.75,3,1,0,0,0,1,complex,brownie,lime,rich,4
Nicaragua,70.0,1,3.75,3,1,0,0,0,1,simple,rich cocoa,no taste,no taste,2
Venezuela,70.0,1,3.5,3,1,0,0,0,1,nutty,slight hammy,rich,no taste,3
Ecuador,75.0,1,3.75,3,1,0,0,0,1,sandy,floral,honey,no taste,3
Dominican republic,70.0,1,3.25,3,1,0,0,0,1,earthy,cherries,no taste,no taste,2
Bolivia,70.0,1,4.0,3,1,0,0,0,1,nuts,fruit,no taste,no taste,2
Guatemala,70.0,1,3.5,2,0,0,0,0,1,tart,tea,leather,sour,4
Dominican republic,80.0,1,3.25,3,1,0,0,0,1,bitter,dark berry,fatty,no taste,3
Belize,80.0,1,3.25,3,1,0,0,0,1,mild smoke,raisins,coffee,no taste,3
Madagascar,80.0,0,2.75,3,1,0,0,0,1,bitter,tart,acidic,no taste,3
Jamaica,70.0,0,3.0,4,1,1,0,0,1,chalky,sandy,tart,bland,4
Dominican republic,70.0,1,3.5,3,1,0,0,0,1,spicy,black pepper,banana,no taste,3
Ecuador,72.0,1,3.5,3,1,0,0,0,1,floral,banana,no taste,no taste,2
Madagascar,72.0,0,3.0,3,1,0,0,0,1,sweet,mild molasses,bland,no taste,3
Trinidad,68.0,0,2.75,3,1,0,0,0,1,fatty,sweet,metallic,no taste,3
Ecuador,70.0,1,3.25,2,0,0,0,0,1,powdery,floral,molasses,no taste,3
Dominican republic,68.0,0,2.75,3,1,0,0,0,1,gritty,sweet,brownie,no taste,3
Guatemala,70.0,0,3.0,3,1,0,0,0,1,roasty and under refined,no taste,no taste,no taste,1
Bolivia,70.0,0,2.5,3,1,0,0,0,1,dirt,earthy,floral,no taste,3
Ecuador,72.0,1,3.5,3,1,0,0,0,1,floral,mild citrus,orange,no taste,3
Trinidad,72.0,1,3.25,3,1,0,0,0,1,high roast,coffee,spicy,no taste,3
Belize,72.0,1,3.25,3,1,0,0,0,1,roasty,fruit,mild metallic,no taste,3
