,country_of_bean_origin,cocoa_percent,rating,rating_category,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
27,Venezuela,70.0,3.5,2,4,1,0,1,0,1,0,alluring aroma,powdery,nutty,no taste,3
28,Peru,70.0,3.75,2,2,0,0,0,0,1,0,yellow fruit,no taste,no taste,no taste,1
29,Peru,70.0,3.75,2,2,0,0,0,0,1,0,intense,nutty,cherry,cocoa,4
30,Peru,70.0,3.5,2,2,0,0,0,0,1,0,hot cocoa,rich,molasses,no taste,3
31,Mexico,74.0,3.25,1,2,0,0,0,0,1,0,herbal,molasses,hammy,no taste,3
32,Fiji,88.0,3.5,2,3,1,0,0,0,1,0,orange,floral,lemon,no taste,3
33,Fiji,72.0,3.5,2,3,1,0,0,0,1,0,cocoa and powerful tang,no taste,no taste,no taste,1
34,Fiji,80.0,3.25,1,3,1,0,0,0,1,0,spicy and candy-like,no taste,no taste,no taste,1
35,Fiji,60.0,2.75,0,3,1,0,0,0,1,0,sweet,sublte strawberry,no taste,no taste,2
36,Vanuatu,70.0,3.0,1,2,0,0,0,0,1,0,sandy,woody,spicy,sweet,4
37,Vanuatu,70.0,2.75,0,2,0,0,0,0,1,0,basic,sweet,cocoa,woody,4
38,Vanuatu,70.0,2.75,0,2,0,0,0,0,1,0,sweet,cocoa,rubbery,no taste,3
39,Vanuatu,70.0,2.5,0,2,0,0,0,0,1,0,unrefined,sweet,metallic,no taste,3
40,Ecuador,70.0,3.0,1,4,1,1,0,0,1,0,roasty,nutty,coffee,no taste,3
41,Ecuador,55.0,2.75,0,4,1,1,0,0,1,0,sandy,sweet,banana cream,no taste,3
42,Mexico,70.0,3.0,1,3,1,0,0,0,1,0,gritty,spice,cocoa,no taste,3
43,Madagascar,75.0,2.75,0,4,1,0,1,0,1,0,strong pepper,musty,no taste,no taste,2
44,Brazil,75.0,2.75,0,4,1,0,1,0,1,0,fatty,intense,woody,no taste,3
45,Indonesia,75.0,3.75,2,4,1,0,1,0,1,0,hay,nut,berry,no taste,3
46,Venezuela,75.0,2.5,0,5,1,1,1,0,1,0,sandy,dirt,ashey,no taste,3
47,Peru,75.0,2.5,0,5,1,1,1,0,1,0,cardboard,dirt,roasty,no taste,3
48,Madagascar,75.0,3.0,1,5,1,1,0,1,1,0,citrus,fatty,dairy,no taste,3
49,Trinidad,65.0,2.75,0,6,1,1,1,1,1,0,roasty,sweet,savory,no taste,3
50,Vietnam,75.0,2.75,0,5,1,1,0,1,1,0,nutty,roasty,odd dairy,no taste,3
51,Mexico,75.0,3.5,2,6,1,1,1,1,1,0,strawberry,cream,gateway,no taste,3
52,Ecuador,70.0,3.5,2,3,1,0,0,0,1,0,sandy,green,floral,no taste,3
53,Nicaragua,70.0,3.5,2,3,1,0,0,0,1,0,sandy,sweet,nibby,no taste,3
54,Tanzania,70.0,3.5,2,3,1,0,0,0,1,0,sandy,melon,banana,no taste,3
55,Vietnam,70.0,3.5,2,3,1,0,0,0,1,0,sandy,sweet,roasty,no taste,3
56,Bolivia,80.0,3.25,1,4,1,0,1,0,1,0,gritty,berry,mild bitter,no taste,3
57,Peru,60.0,3.25,1,4,1,0,1,0,1,0,gritty,too sweet,fruit,no taste,3
58,Dominican republic,60.0,3.0,1,4,1,0,1,0,1,0,sandy,sweet,dairy,spice,4
59,Bolivia,60.0,3.0,1,4,1,0,1,0,1,0,grit,sweet,caramel,fruit,4
60,Venezuela,60.0,2.5,0,4,1,0,1,0,1,0,sweet,moldy,off,no taste,3
61,Peru,60.0,3.0,1,3,1,0,0,0,1,0,dry,sweet,caramel,no taste,3
62,Nicaragua,60.0,2.75,0,3,1,0,0,0,1,0,powdery,sweet,molasses,no taste,3
63,Ecuador,60.0,2.75,0,3,1,0,0,0,1,0,sandy,nutty,earthy,roasty,4
64,Bolivia,60.0,2.5,0,3,1,0,0,0,1,0,sandy,sweet,pungent,no taste,3
65,Peru,60.0,2.5,0,3,1,0,0,0,1,0,sandy,sweet,sour,off,4
66,Dominican republic,70.0,3.0,1,3,1,0,0,0,1,0,sweet,coarse,nutty,no taste,3
67,Venezuela,70.0,3.75,2,4,1,1,0,0,1,0,spicy,strawberry,no taste,no taste,2
68,Madagascar,70.0,3.5,2,4,1,1,0,0,1,0,spice,nut,cocoa,fruit,4
69,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,waxy,nutty,mint,no taste,3
70,Indonesia,70.0,2.75,0,4,1,1,0,0,1,0,sticky,nutty,high acidity,no taste,3
71,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,hot spice,roasty,no taste,no taste,2
72,Ecuador,70.0,4.0,2,4,1,1,0,0,1,0,strong spice,intense pepper,no taste,no taste,2
73,Dominican republic,70.0,3.75,2,4,1,1,0,0,1,0,orange,cinamon,no taste,no taste,2
74,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,woody,red berry,sour,no taste,3
75,Papua new guinea,70.0,4.0,2,4,1,1,0,0,1,0,tart,lemon,smoke,no taste,3
76,Ghana,70.0,3.0,1,2,0,0,0,0,1,0,dry,chalky,fudge-like,no taste,3
77,Ghana,85.0,3.0,1,2,0,0,0,0,1,0,roasty,oddly sweet,marshmallow,no taste,3
78,Ecuador,70.0,2.75,0,2,0,0,0,0,1,0,waxy mouthfeel,spicy,no taste,no taste,2
79,Ecuador,85.0,2.75,0,2,0,0,0,0,1,0,fatty,mushroom,off notes,no taste,3
80,Peru,73.0,3.5,2,3,1,0,0,0,1,0,oily,vegetal,nutty,cocoa,4
81,Peru,72.0,3.25,1,3,1,0,0,0,1,0,oily,vanilla,melon,cocoa,4
82,Peru,68.0,3.5,2,2,0,0,0,0,1,0,rich,sour,mild smoke,no taste,3
83,Madagascar,66.0,3.25,1,2,0,0,0,0,1,0,fruity,sour,no taste,no taste,2
84,Dominican republic,75.0,3.25,1,2,0,0,0,0,1,0,high roast,high astringnet,no taste,no taste,2
85,Papua new guinea,63.0,3.25,1,2,0,0,0,0,1,0,smokey,savory,no taste,no taste,2
86,Venezuela,70.0,3.25,1,2,0,0,0,0,1,0,sandy,roasty,nutty,no taste,3
87,Belize,64.0,3.0,1,4,1,0,1,0,1,0,roasty,brownie,nutty,no taste,3
88,Blend,66.0,3.75,2,4,1,1,0,0,1,0,red wine,rich cocoa,long,no taste,3
89,Venezuela,70.0,3.75,2,4,1,1,0,0,1,0,creamy,fruit,cocoa,no taste,3
90,Grenada,70.0,3.5,2,4,1,1,0,0,1,0,fruity with coffee notes,no taste,no taste,no taste,1
91,Trinidad,70.0,3.5,2,4,1,1,0,0,1,0,coffee,fruit,woodsy,no taste,3
92,Blend,63.0,3.5,2,4,1,1,0,0,1,0,fatty,dairy,caramel,cocoa,4
93,Ecuador,70.0,3.0,1,4,1,1,0,0,1,0,creamy,earthy,vegetal,no taste,3
94,Jamaica,70.0,3.0,1,4,1,1,0,0,1,0,sandy,woody,spicy,no taste,3
95,Peru,70.0,3.75,2,4,1,1,0,0,1,0,creamy,raspberry,nutty,no taste,3
96,Blend,75.0,3.5,2,4,1,1,0,0,1,0,sweet,delicate,complex,no taste,3
97,Madagascar,70.0,3.0,1,4,1,1,0,0,1,0,vanilla,mint,roasty,no taste,3
98,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,vanilla,nuts,roasty,no taste,3
99,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,nutty,mild roasty,vanilla,no taste,3
100,Blend,70.0,2.75,0,3,1,0,0,0,1,0,nut,fatty,rubbery,rich,4
101,Brazil,60.0,4.0,2,4,1,0,1,0,1,0,creamy,sweet,cocoa,banana,4
102,Brazil,50.0,3.75,2,4,1,0,1,0,1,0,very sweet,bright red,banana,no taste,3
103,Brazil,75.0,3.75,2,4,1,0,1,0,1,0,roasty,fatty,nutty,coffee,4
104,Brazil,85.0,2.75,0,4,1,0,1,0,1,0,creamy,red berry,bitter,no taste,3
105,Brazil,75.0,3.25,1,4,1,0,1,0,1,0,grainy,sweet,poor aftertaste,no taste,3
106,Dominican republic,75.0,3.0,1,2,0,0,0,0,1,0,chalky,mild fruit,burnt,no taste,3
107,Bolivia,75.0,3.5,2,2,0,0,0,0,1,0,light roast,caramel,cocoa,no taste,3
108,Madagascar,75.0,3.0,1,3,1,0,0,0,1,0,sandy,fruity,short,no taste,3
109,Venezuela,75.0,3.0,1,3,1,0,0,0,1,0,nutty,mild spice,mild earthy,no taste,3
110,Ecuador,75.0,2.75,0,3,1,0,0,0,1,0,bitter,floral,leather,no taste,3
111,Mexico,72.0,2.5,0,3,1,0,0,0,1,0,earthy,sour milk,leather,no taste,3
112,Nicaragua,70.0,4.0,2,2,0,0,0,0,1,0,creamy,sticky,peanut butter,no taste,3
113,Ecuador,70.0,3.75,2,2,0,0,0,0,1,0,spicy,cocoa,no taste,no taste,2
114,Belize,70.0,3.75,2,2,0,0,0,0,1,0,floral,strawberry,metallic,no taste,3
115,Brazil,70.0,3.5,2,2,0,0,0,0,1,0,creamy,rich,rum,roasty,4
116,Peru,68.0,3.5,2,2,0,0,0,0,1,0,floral,nutty,rich cocoa,no taste,3
117,Dominican republic,70.0,3.5,2,2,0,0,0,0,1,0,spicy,brownie,nutty,no taste,3
118,Ecuador,75.0,3.5,2,3,1,0,0,0,1,0,intense,floral,bourbon,no taste,3
119,Guatemala,70.0,3.25,1,2,0,0,0,0,1,0,strawberry,butterscotch,off,no taste,3
120,Brazil,75.0,2.75,0,2,0,0,0,0,1,0,floral,chemical off,no taste,no taste,2
121,Costa rica,70.0,4.0,2,2,0,0,0,0,1,0,balanced,cherry,choco,no taste,3
122,Peru,70.0,4.0,2,2,0,0,0,0,1,0,creamy,complex,balanced,no taste,3
123,Tanzania,70.0,3.75,2,2,0,0,0,0,1,0,appealing smoke,woody,no taste,no taste,2
124,Nicaragua,70.0,3.75,2,3,1,0,0,0,1,0,muddy,rich cocoa,raspberry,no taste,3
125,Dominican republic,70.0,3.75,2,2,0,0,0,0,1,0,dark berry,chocolatey,no taste,no taste,2
126,Trinidad,70.0,3.5,2,2,0,0,0,0,1,0,delicate,simple,no taste,no taste,2
127,Vietnam,73.0,3.5,2,3,1,0,0,0,1,0,cashew,roasty,chunky melt,no taste,3
128,Guatemala,70.0,3.5,2,2,0,0,0,0,1,0,subtle,mysterious,no taste,no taste,2
129,Honduras,70.0,3.5,2,2,0,0,0,0,1,0,nutty,green,no taste,no taste,2
130,Ecuador,70.0,3.25,1,3,1,0,0,0,1,0,sticky,floral,roasty,no taste,3
131,Ecuador,70.0,3.25,1,3,1,0,0,0,1,0,chewy,mild floral,no taste,no taste,2
132,Fiji,70.0,3.25,1,2,0,0,0,0,1,0,smoke,hammy,cocoa base,no taste,3
133,Vietnam,73.0,3.25,1,2,0,0,0,0,1,0,earthy,nutty,cardboard,no taste,3
134,Bolivia,70.0,4.0,2,2,0,0,0,0,1,0,creamy,bright fruit,no taste,no taste,2
135,Haiti,70.0,4.0,2,2,0,0,0,0,1,0,long lasting,cocoa,no taste,no taste,2
136,India,70.0,3.5,2,2,0,0,0,0,1,0,slight roasty,basic cocoa,no taste,no taste,2
137,Madagascar,70.0,3.5,2,3,1,0,0,0,1,0,sour fruit,no taste,no taste,no taste,1
138,Vietnam,73.0,3.5,2,3,1,0,0,0,1,0,rich cocoa,mild roasty,no taste,no taste,2
139,Peru,70.0,3.5,2,3,1,0,0,0,1,0,dried fruit,fig,anise,no taste,3
140,Colombia,70.0,4.0,2,2,0,0,0,0,1,0,smooth,nutty,cocoa,no taste,3
141,Trinidad,70.0,3.0,1,2,0,0,0,0,1,0,nuts,dried fruit,short,no taste,3
142,India,70.0,3.25,1,3,1,0,0,0,1,0,herbs,mushroom,acidic,no taste,3
143,India,70.0,3.0,1,3,1,0,0,0,1,0,burn butterscotch,rubbery,no taste,no taste,2
144,Nicaragua,70.0,3.5,2,2,0,0,0,0,1,0,smooth,vegetal,no taste,no taste,2
145,Nicaragua,70.0,3.5,2,2,0,0,0,0,1,0,roasty,rich cocoa,no taste,no taste,2
146,Nicaragua,70.0,3.25,1,2,0,0,0,0,1,0,melon,late hammy,no taste,no taste,2
147,Nicaragua,70.0,3.0,1,2,0,0,0,0,1,0,cocoa,earthy,hammy,no taste,3
148,Congo,72.0,3.75,2,3,1,0,0,0,1,0,spicy,minty,vegetal,no taste,3
149,Dominican republic,72.0,3.25,1,3,1,0,0,0,1,0,spice,cocoa,short,no taste,3
150,Madagascar,80.0,3.0,1,3,1,0,0,0,1,0,sl. bitter,cherry,rich,no taste,3
151,Peru,75.0,3.0,1,3,1,0,0,0,1,0,spicey,mild metallic,no taste,no taste,2
152,Indonesia,72.0,2.75,0,3,1,0,0,0,1,0,gritty,very smokey,sour,no taste,3
153,Venezuela,75.0,2.5,0,3,1,0,0,0,1,0,oily,nutty,burnt,sour,4
154,Brazil,72.0,1.75,0,3,1,0,0,0,1,0,cocoa,dominate off note,no taste,no taste,2
155,Jamaica,72.0,3.75,2,3,1,0,0,0,1,0,grassy,black licorice,mint,no taste,3
156,Indonesia,72.0,3.5,2,3,1,0,0,0,1,0,black pepper and banana,no taste,no taste,no taste,1
157,Costa rica,72.0,3.25,1,3,1,0,0,0,1,0,chewy,grassy,nutty,no taste,3
158,Vietnam,72.0,3.25,1,3,1,0,0,0,1,0,unrefined,distinct spicey,no taste,no taste,2
159,Haiti,72.0,4.0,2,3,1,0,0,0,1,0,nuts,butterscotch,brownie,no taste,3
160,Panama,72.0,2.75,0,3,1,0,0,0,1,0,blackpepper,chemical,rubber,no taste,3
161,Colombia,72.0,3.75,2,3,1,0,0,0,1,0,marshmallow,roasty,nutty,no taste,3
162,Trinidad,72.0,3.25,1,3,1,0,0,0,1,0,gritty,nutty,no taste,no taste,2
163,Colombia,72.0,2.75,0,4,1,0,1,0,1,0,creamy,marshmallow,off,no taste,3
164,Ecuador,70.0,3.0,1,2,0,0,0,0,1,0,smooth,astringent,cocoa,no taste,3
165,Mexico,75.0,2.5,0,2,0,0,0,0,1,0,leather,black licorice,off,no taste,3
166,Philippines,77.0,3.75,2,2,0,0,0,0,1,0,strawberries,mild tart,roasty,no taste,3
167,Tanzania,72.0,3.75,2,2,0,0,0,0,1,0,creamy,woody,cocoa,no taste,3
168,Honduras,70.0,3.75,2,2,0,0,0,0,1,0,grapes,woody,roasty,no taste,3
169,Tanzania,68.0,3.75,2,3,1,0,0,0,1,0,creamy,rich,blueberry,no taste,3
170,Solomon islands,70.0,3.0,1,4,1,0,1,0,1,0,off aroma,vegetal,honey,sandy,4
171,Philippines,70.0,3.5,2,3,1,0,0,0,1,0,long,bright fruit,sweet,sour,4
172,Philippines,70.0,3.0,1,3,1,0,0,0,1,0,waxy,dried fruit,no taste,no taste,2
173,Philippines,70.0,3.0,1,3,1,0,0,0,1,0,sandy,roasty,nutty,no taste,3
174,Philippines,77.0,2.75,0,4,0,1,1,0,1,0,sandy,vanilla,no taste,no taste,2
175,Madagascar,70.0,3.0,1,2,0,0,0,0,1,0,unrefined,flat,grassy,no taste,3
176,Brazil,70.0,2.5,0,2,0,0,0,0,1,0,chalky,intense,chemical,no taste,3
177,Blend,70.0,2.5,0,2,0,0,0,0,1,0,chalky,fragrant,then off,no taste,3
178,Papua new guinea,70.0,3.5,2,2,0,0,0,0,1,0,smoke,ham,papaya,no taste,3
179,Blend,80.0,3.25,1,2,0,0,0,0,1,0,coarse,smokey,metallic,no taste,3
180,Brazil,70.0,3.0,1,2,0,0,0,0,1,0,bland,sugary,large grits,no taste,3
181,Peru,70.0,3.5,2,3,1,0,0,0,1,0,black pepper,cardamom,no taste,no taste,2
182,Peru,70.0,2.75,0,3,1,0,0,0,1,0,molasses,caramel,pungent,no taste,3
183,Tanzania,72.0,3.25,1,3,1,0,0,0,1,0,base cocoa,mild fruit,roasty,no taste,3
184,Uganda,82.0,2.75,0,3,1,0,0,0,1,0,bitter,fatty,mild fruit,no taste,3
185,Belize,72.0,2.5,0,3,1,0,0,0,1,0,gritty,fatty,sour,off,4
186,Madagascar,70.0,3.75,2,2,0,0,0,0,1,0,raspberry,mild sour,no taste,no taste,2
187,Mexico,70.0,3.5,2,2,0,0,0,0,1,0,molasses,toffee,coffee grounds,no taste,3
188,Dominican republic,70.0,3.25,1,2,0,0,0,0,1,0,complex,black pepper,coffee,no taste,3
189,Peru,70.0,4.0,2,2,0,0,0,0,1,0,creamy,rounded,orange,no taste,3
190,Brazil,70.0,3.5,2,2,0,0,0,0,1,0,intense,smokey,dried fruit,no taste,3
191,Costa rica,72.0,3.5,2,2,0,0,0,0,1,0,slightly dry,cocoa,berry,no taste,3
192,Trinidad,80.0,3.5,2,2,0,0,0,0,1,0,intense,tangy,alcohol,no taste,3
193,Costa rica,80.0,2.75,0,4,1,1,0,0,1,0,gritty,floral,vanilla,no taste,3
194,Brazil,70.0,3.75,2,3,1,0,0,0,1,0,strawberry,candy flavor,no taste,no taste,2
195,Dominican republic,65.0,3.5,2,3,1,0,0,0,1,0,creamy,sweet,fudgey,no taste,3
196,Ecuador,65.0,3.25,1,3,1,0,0,0,1,0,sandy,floral,sweet,no taste,3
197,Peru,70.0,2.25,0,4,1,1,0,0,1,0,strong vanilla,off notes,no taste,no taste,2
198,Malaysia,72.0,3.25,1,3,1,0,0,0,1,0,smokey,woody,tobacco,no taste,3
199,Malaysia,73.0,3.0,1,3,1,0,0,0,1,0,caramel,spice,earthy,no taste,3
200,Brazil,80.0,2.75,0,3,1,0,0,0,1,0,intense,bitter,dry,no taste,3
201,Dominican republic,70.0,2.75,0,3,1,0,0,0,1,0,sandy,sweet,molasses,no taste,3
202,Ecuador,70.0,2.75,0,3,1,0,0,0,1,0,intense,floral,black pepper,no taste,3
203,Ecuador,90.0,2.75,0,3,1,0,0,0,1,0,intense floral,bitter,earthy,no taste,3
204,Ecuador,71.0,3.5,2,4,1,0,1,0,1,0,dry,cinamon,nutmeg,no taste,3
205,Costa rica,64.0,2.75,0,4,1,0,1,0,1,0,pastey,nutty,no taste,no taste,2
206,Papua new guinea,64.0,2.75,0,4,1,0,1,0,1,0,intense,smokey,no taste,no taste,2
207,Peru,64.0,2.75,0,4,1,0,1,0,1,0,sticky,moss,nuts,no taste,3
208,Tanzania,70.0,3.5,2,3,1,0,0,0,1,0,sticky,delicate,melon,no taste,3
209,Dominican republic,70.0,3.5,2,2,0,0,0,0,1,0,caramel,mild dried fruit,no taste,no taste,2
210,Bolivia,70.0,3.25,1,3,1,0,0,0,1,0,oily,complex,pungent,no taste,3
211,Vietnam,75.0,3.25,1,3,1,0,0,0,1,0,high acidity,nutty,roasty,no taste,3
212,Belize,83.0,3.5,2,3,1,0,0,0,1,0,balanced,complex,berry,no taste,3
213,Belize,78.0,3.0,1,3,1,0,0,0,1,0,sweet,nibby,green,no taste,3
214,Belize,83.0,2.75,0,3,1,0,0,0,1,0,unbalanced,tangy,pungent,no taste,3
215,Vietnam,72.0,3.0,1,4,1,0,1,0,1,0,gummy,roasty,fatty,no taste,3
216,India,72.0,3.0,1,4,1,0,1,0,1,0,gummy,fatty,sour,no taste,3
217,Malaysia,72.0,3.0,1,4,1,0,1,0,1,0,off aroma,smokey,off note,no taste,3
218,Indonesia,72.0,4.0,2,3,1,0,0,0,1,0,smokey,raspberries,cocoa,no taste,3
219,Madagascar,72.0,3.75,2,3,1,0,0,0,1,0,intense,red berry,strawberry,no taste,3
220,Ecuador,73.0,4.0,2,3,1,0,0,0,1,0,cinamon and nutmeg,no taste,no taste,no taste,1
221,Cuba,74.0,3.5,2,3,1,0,0,0,1,0,tobacco,dairy,sour,no taste,3
222,Venezuela,74.0,3.5,2,3,1,0,0,0,1,0,mocha,intense,sweet,no taste,3
223,Venezuela,74.0,3.5,2,3,1,0,0,0,1,0,nutty,roasty,dairy,no taste,3
224,Blend,55.0,2.75,0,5,1,1,1,0,1,0,sweet,vanilla,cocoa,no taste,3
225,Indonesia,64.0,3.5,2,3,1,0,0,0,1,0,ham-like,smokey,banana,no taste,3
226,Venezuela,72.0,3.5,2,3,1,0,0,0,1,0,dark cocoa,spicy pepper,no taste,no taste,2
227,Venezuela,70.0,3.25,1,3,1,0,0,0,1,0,creamy,macadamia,pepper,no taste,3
228,Venezuela,74.0,3.25,1,3,1,0,0,0,1,0,nutty,light toffee,mild musty,no taste,3
229,Ecuador,72.0,4.0,2,3,1,0,0,0,1,0,creamy,nutty,cocoa,no taste,3
230,Venezuela,72.0,3.5,2,3,1,0,0,0,1,0,creamy,banana,rich,no taste,3
231,Madagascar,64.0,3.0,1,3,1,0,0,0,1,0,chunky,nutty,banana,no taste,3
232,Venezuela,88.0,3.0,1,3,1,0,0,0,1,0,bitter then nutty rustic,earthy,no taste,no taste,2
233,Belize,86.0,3.25,1,4,1,1,0,0,1,0,mild bitter,diluted,vanilla,no taste,3
234,Nicaragua,76.0,2.5,0,2,0,0,0,0,1,0,bitter,molasses,flour,no taste,3
235,Costa rica,76.0,2.5,0,2,0,0,0,0,1,0,molasses,metallic,earthy,no taste,3
236,Costa rica,78.0,2.5,0,4,1,1,0,0,1,0,sour,tart,molasses,no taste,3
237,Venezuela,70.0,3.5,2,4,1,0,1,0,1,0,smooth texture,earthy,nutty,no taste,3
238,Venezuela,70.0,3.0,1,4,1,0,1,0,1,0,gritty,spicy,earthy,no taste,3
239,Venezuela,70.0,3.0,1,4,1,0,1,0,1,0,fatty,bland,nutty,no taste,3
240,Dominican republic,68.0,3.75,2,2,0,0,0,0,1,0,nutty,astringent,no taste,no taste,2
241,Panama,75.0,3.5,2,2,0,0,0,0,1,0,intense,rum,tea,no taste,3
242,Madagascar,71.0,3.0,1,2,0,0,0,0,1,0,rich cocoa,red berry,sour,no taste,3
243,Ghana,70.0,3.0,1,2,0,0,0,0,1,0,nutmeg,sour,no taste,no taste,2
244,Dominican republic,65.0,3.5,2,2,0,0,0,0,1,0,intense marshmallow,cocoa,no taste,no taste,2
245,Madagascar,65.0,3.5,2,2,0,0,0,0,1,0,chocolate covered cherries,no taste,no taste,no taste,1
246,Madagascar,75.0,3.25,1,2,0,0,0,0,1,0,rustic,red berry,woody,no taste,3
247,Dominican republic,75.0,3.0,1,2,0,0,0,0,1,0,chalky,strong,harsh smoke,no taste,3
248,Blend,70.0,3.75,2,2,0,0,0,0,1,0,robust,cocoa,fruity,no taste,3
249,Indonesia,75.0,3.25,1,2,0,0,0,0,1,0,dry,cardamom,medicinal,no taste,3
250,Madagascar,70.0,3.0,1,2,0,0,0,0,1,0,red berry,strong wine,sour,no taste,3
251,Venezuela,78.0,3.0,1,2,0,0,0,0,1,0,nutty,mild bitter,no taste,no taste,2
252,Indonesia,65.0,2.75,0,2,0,0,0,0,1,0,pastey,off spicey,nutty,no taste,3
253,Ghana,72.0,3.5,2,3,1,0,0,0,1,0,roasted nuts,rich,roasty,no taste,3
254,Dominican republic,70.0,3.25,1,2,0,0,0,0,1,0,sweet,sour milk,no taste,no taste,2
255,Haiti,70.0,3.0,1,2,0,0,0,0,1,0,floral,molasses,chemical,no taste,3
256,Guatemala,70.0,3.0,1,2,0,0,0,0,1,0,molasses,earthy,spicy,no taste,3
257,Belize,70.0,2.75,0,2,0,0,0,0,1,0,off,rubbery,burnt molasses,no taste,3
258,Nicaragua,70.0,3.0,1,3,1,0,0,0,1,0,rich,leather,woodsy,no taste,3
259,Dominican republic,70.0,2.75,0,3,1,0,0,0,1,0,unrefined,fruity,no taste,no taste,2
260,Venezuela,70.0,2.75,0,3,1,0,0,0,1,0,sweet grass,muted spice,no taste,no taste,2
261,Jamaica,70.0,2.75,0,4,1,0,1,0,1,0,fatty,nutty,no taste,no taste,2
262,Blend,72.0,2.75,0,4,1,1,0,0,1,0,oily,flat,woody,sour,4
263,Congo,82.0,3.5,2,4,1,1,0,0,1,0,complex,fruity,mild bitter,no taste,3
264,Madagascar,70.0,3.75,2,3,1,0,0,0,1,0,gritty,tart red berry,powerful,no taste,3
265,Guatemala,70.0,3.5,2,3,1,0,0,0,1,0,chewy,complex,black pepper,no taste,3
266,Madagascar,82.0,3.5,2,2,0,0,0,0,1,0,sandy,tart,sour,sweet,4
267,Tanzania,75.0,3.5,2,2,0,0,0,0,1,0,bready,melon,no taste,no taste,2
268,Dominican republic,75.0,3.0,1,2,0,0,0,0,1,0,astringent,sour,coffee,no taste,3
269,Guatemala,75.0,2.75,0,2,0,0,0,0,1,0,roasty,coffee,earthy,no taste,3
270,Belize,70.0,2.75,0,3,1,0,0,0,1,0,pungent off flavor,no taste,no taste,no taste,1
271,Malaysia,74.0,3.25,1,2,0,0,0,0,1,0,grassy,savory,sour,no taste,3
272,Malaysia,72.0,2.75,0,2,0,0,0,0,1,0,sweet,fruit,chemical off note,no taste,3
273,Malaysia,68.0,2.5,0,2,0,0,0,0,1,0,sweet,dirty,off notes,no taste,3
